"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","FDISTOCK","INWARD","PC_GDP","A","2011",15.600282049644,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2012",17.540606067073,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2013",17.132363377397,"B"
"ITA","FDISTOCK","INWARD","PC_GDP","A","2014",16.381322319741,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2015",18.578263222831,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2016",18.964684635368,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2017",22.077946970769,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2005",2.1217630320773,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2006",2.3758189368072,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2007",2.9422619551493,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2008",4.0368361755171,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2009",3.825962789662,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2010",3.7699268493121,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2011",3.6668509974414,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2012",3.3168884968982,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2013",3.3111346833464,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2014",3.5391574267883,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2015",3.9623876619192,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2016",3.9725808398393,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2017",4.1089452167709,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2013",12.743144628106,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2014",11.962256944017,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2015",12.21634047462,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2016",12.36771931888,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2012",277.99267090552,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2013",265.09340939935,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2014",345.58462038697,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2015",347.27796579687,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2016",344.81460292329,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2017",286.66786193545,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2005",28.264405434469,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2006",28.428416598326,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2007",29.604592311806,
